積載日,トラック名,製品コード,製品名,容器数,合計数量,納期,体積積載率,体積積載率(%),前倒し配送
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-10-20,夕便,YD40002946,フロア,1,2,2025-10-23,,96.9,×
2025-10-20,夕便,YD40006237,フロア,1,2,2025-10-23,,96.9,×
2025-10-20,夕便,YD40006245,フロア,6,12,2025-10-23,,96.9,×
2025-10-20,夕便,YD40006630,フロア,8,16,2025-10-23,,96.9,×
,,,,,,,,,
2025-10-21,朝便,YD40006630,フロア,1,2,2025-10-23,,60.6,×
2025-10-21,朝便,YD40006842,フロア,1,2,2025-10-23,,60.6,×
2025-10-21,朝便,YD40007003,フロア,3,6,2025-10-23,,60.6,×
2025-10-21,朝便,YD40007243,フロア,2,4,2025-10-23,,60.6,×
2025-10-21,朝便,YD40007372,フロア,2,4,2025-10-23,,60.6,×
2025-10-21,朝便,YD40007722,フロア,1,1,2025-10-23,,60.6,×
2025-10-21,夕便,YD40002946,フロア,1,2,2025-10-24,,96.9,×
2025-10-21,夕便,YD40006245,フロア,4,8,2025-10-24,,96.9,×
2025-10-21,夕便,YD40006630,フロア,9,18,2025-10-24,,96.9,×
2025-10-21,夕便,YD40006842,フロア,2,4,2025-10-24,,96.9,×
,,,,,,,,,
2025-10-22,朝便,YD40007003,フロア,1,2,2025-10-24,,24.2,×
2025-10-22,朝便,YD40007372,フロア,1,2,2025-10-24,,24.2,×
2025-10-22,朝便,YD40007722,フロア,1,1,2025-10-24,,24.2,×
,,,,,,,,,
2025-10-23,夕便,YD40002946,フロア,1,2,2025-10-27,,96.9,×
2025-10-23,夕便,YD40002946,フロア,1,2,2025-10-28,,96.9,×
2025-10-23,夕便,YD40006237,フロア,1,2,2025-10-27,,96.9,×
2025-10-23,夕便,YD40006245,フロア,9,18,2025-10-27,,96.9,×
2025-10-23,夕便,YD40006245,フロア,4,8,2025-10-28,,96.9,×
,,,,,,,,,
2025-10-24,朝便,YD40006245,フロア,5,10,2025-10-28,,96.9,×
2025-10-24,朝便,YD40006618,フロア,1,2,2025-10-28,,96.9,×
2025-10-24,朝便,YD40006630,フロア,9,18,2025-10-27,,96.9,×
2025-10-24,朝便,YD40006842,フロア,1,2,2025-10-27,,96.9,×
2025-10-24,夕便,YD40002946,フロア,1,2,2025-10-29,,96.9,×
2025-10-24,夕便,YD40006245,フロア,11,22,2025-10-29,,96.9,×
2025-10-24,夕便,YD40006630,フロア,4,8,2025-10-29,,96.9,×
,,,,,,,,,
2025-10-27,朝便,YD40006630,フロア,5,10,2025-10-29,,60.6,×
2025-10-27,朝便,YD40006842,フロア,1,2,2025-10-29,,60.6,×
2025-10-27,朝便,YD40007003,フロア,2,4,2025-10-29,,60.6,×
2025-10-27,朝便,YD40007372,フロア,2,4,2025-10-29,,60.6,×
2025-10-27,夕便,YD40002946,フロア,1,2,2025-10-30,,96.9,×
2025-10-27,夕便,YD40006245,フロア,10,20,2025-10-30,,96.9,×
2025-10-27,夕便,YD40006630,フロア,4,8,2025-10-30,,96.9,×
2025-10-27,夕便,YD40007688,フロア,1,1,2025-10-30,,96.9,×
,,,,,,,,,
2025-10-28,朝便,YD40006630,フロア,2,4,2025-10-30,,48.5,×
2025-10-28,朝便,YD40006842,フロア,2,4,2025-10-30,,48.5,×
2025-10-28,朝便,YD40007003,フロア,3,6,2025-10-30,,48.5,×
2025-10-28,夕便,YD40002946,フロア,1,2,2025-10-31,,96.9,×
2025-10-28,夕便,YD40006237,フロア,1,2,2025-10-31,,96.9,×
2025-10-28,夕便,YD40006245,フロア,11,22,2025-10-31,,96.9,×
2025-10-28,夕便,YD40006618,フロア,1,2,2025-10-31,,96.9,×
2025-10-28,夕便,YD40006630,フロア,2,4,2025-10-31,,96.9,×
,,,,,,,,,
2025-10-29,朝便,YD40006630,フロア,4,8,2025-10-31,,60.6,×
2025-10-29,朝便,YD40006842,フロア,1,2,2025-10-31,,60.6,×
2025-10-29,朝便,YD40007003,フロア,1,2,2025-10-31,,60.6,×
2025-10-29,朝便,YD40007243,フロア,1,2,2025-10-31,,60.6,×
2025-10-29,朝便,YD40007372,フロア,1,2,2025-10-31,,60.6,×
2025-10-29,朝便,YD40007688,フロア,1,1,2025-10-31,,60.6,×
,,,,,,,,,
2025-10-30,夕便,YD40002946,フロア,1,2,2025-11-04,,96.9,×
2025-10-30,夕便,YD40002946,フロア,2,3,2025-11-05,,96.9,×
2025-10-30,夕便,YD40002946,フロア,2,3,2025-11-05,,96.9,×
2025-10-30,夕便,YD40002946,フロア,1,2,2025-11-05,,96.9,×
2025-10-30,夕便,YD40006237,フロア,4,7,2025-11-05,,96.9,×
2025-10-30,夕便,YD40006237,フロア,1,2,2025-11-05,,96.9,×
2025-10-30,夕便,YD40006245,フロア,4,8,2025-11-04,,96.9,×
2025-10-30,夕便,YD40007243,フロア,1,2,2025-11-04,,96.9,×
,,,,,,,,,
2025-10-31,朝便,YD40006245,フロア,8,16,2025-11-04,,96.9,×
2025-10-31,朝便,YD40006245,フロア,4,7,2025-11-05,,96.9,×
2025-10-31,朝便,YD40006245,フロア,4,8,2025-11-05,,96.9,×
2025-10-31,夕便,YD40002946,フロア,1,2,2025-11-06,,96.9,×
2025-10-31,夕便,YD40006245,フロア,9,18,2025-11-06,,96.9,×
2025-10-31,夕便,YD40006618,フロア,1,2,2025-11-06,,96.9,×
2025-10-31,夕便,YD40006630,フロア,4,8,2025-11-06,,96.9,×
2025-10-31,夕便,YD40007003,フロア,1,2,2025-11-06,,96.9,×
,,,,,,,,,
2025-11-04,朝便,YD40006630,フロア,3,6,2025-11-06,,36.3,×
2025-11-04,朝便,YD40006842,フロア,2,4,2025-11-06,,36.3,×
2025-11-04,朝便,YD40007243,フロア,1,2,2025-11-06,,36.3,×
2025-11-04,夕便,YD40002946,フロア,2,4,2025-11-07,,96.9,×
2025-11-04,夕便,YD40006245,フロア,12,24,2025-11-07,,96.9,×
2025-11-04,夕便,YD40006630,フロア,2,4,2025-11-07,,96.9,×
,,,,,,,,,
2025-11-05,朝便,YD40006630,フロア,4,8,2025-11-07,,60.6,×
2025-11-05,朝便,YD40006842,フロア,3,6,2025-11-07,,60.6,×
2025-11-05,朝便,YD40007003,フロア,2,4,2025-11-07,,60.6,×
2025-11-05,朝便,YD40007243,フロア,1,2,2025-11-07,,60.6,×
,,,,,,,,,
2025-11-06,夕便,YD40002946,フロア,1,2,2025-11-10,,96.9,×
2025-11-06,夕便,YD40002946,フロア,1,2,2025-11-11,,96.9,×
2025-11-06,夕便,YD40006237,フロア,1,2,2025-11-11,,96.9,×
2025-11-06,夕便,YD40006245,フロア,10,20,2025-11-10,,96.9,×
2025-11-06,夕便,YD40006245,フロア,2,4,2025-11-11,,96.9,×
2025-11-06,夕便,YD40006842,フロア,1,2,2025-11-10,,96.9,×
,,,,,,,,,
2025-11-07,朝便,YD40006245,フロア,9,18,2025-11-11,,96.9,×
2025-11-07,朝便,YD40006630,フロア,6,12,2025-11-10,,96.9,×
2025-11-07,朝便,YD40007003,フロア,1,2,2025-11-10,,96.9,×
2025-11-07,夕便,YD40002946,フロア,1,2,2025-11-12,,96.9,×
2025-11-07,夕便,YD40006245,フロア,10,20,2025-11-12,,96.9,×
2025-11-07,夕便,YD40006618,フロア,1,2,2025-11-12,,96.9,×
2025-11-07,夕便,YD40006630,フロア,4,8,2025-11-12,,96.9,×
,,,,,,,,,
2025-11-10,朝便,YD40006630,フロア,5,10,2025-11-12,,60.6,×
2025-11-10,朝便,YD40006842,フロア,1,2,2025-11-12,,60.6,×
2025-11-10,朝便,YD40007003,フロア,1,2,2025-11-12,,60.6,×
2025-11-10,朝便,YD40007243,フロア,1,2,2025-11-12,,60.6,×
2025-11-10,朝便,YD40007688,フロア,1,1,2025-11-12,,60.6,×
2025-11-10,夕便,YD40002946,フロア,1,2,2025-11-13,,96.9,×
2025-11-10,夕便,YD40006245,フロア,9,18,2025-11-13,,96.9,×
2025-11-10,夕便,YD40006630,フロア,6,12,2025-11-13,,96.9,×
,,,,,,,,,
2025-11-11,朝便,YD40006630,フロア,3,6,2025-11-13,,48.5,×
2025-11-11,朝便,YD40006842,フロア,2,4,2025-11-13,,48.5,×
2025-11-11,朝便,YD40007003,フロア,2,4,2025-11-13,,48.5,×
2025-11-11,朝便,YD40007372,フロア,1,2,2025-11-13,,48.5,×
2025-11-11,夕便,YD40002946,フロア,1,2,2025-11-14,,96.9,×
2025-11-11,夕便,YD40006237,フロア,1,2,2025-11-14,,96.9,×
2025-11-11,夕便,YD40006245,フロア,8,16,2025-11-14,,96.9,×
2025-11-11,夕便,YD40006630,フロア,6,12,2025-11-14,,96.9,×
,,,,,,,,,
2025-11-12,朝便,YD40006630,フロア,5,10,2025-11-14,,48.5,×
2025-11-12,朝便,YD40006842,フロア,1,2,2025-11-14,,48.5,×
2025-11-12,朝便,YD40007003,フロア,1,2,2025-11-14,,48.5,×
,,,,,,,,,
2025-11-13,夕便,YD40002946,フロア,1,2,2025-11-17,,96.9,×
2025-11-13,夕便,YD40002946,フロア,1,2,2025-11-18,,96.9,×
2025-11-13,夕便,YD40006237,フロア,1,2,2025-11-18,,96.9,×
2025-11-13,夕便,YD40006245,フロア,10,20,2025-11-17,,96.9,×
2025-11-13,夕便,YD40006245,フロア,2,4,2025-11-18,,96.9,×
2025-11-13,夕便,YD40006618,フロア,1,2,2025-11-17,,96.9,×
,,,,,,,,,
2025-11-14,朝便,YD40006245,フロア,6,12,2025-11-18,,96.9,×
2025-11-14,朝便,YD40006630,フロア,9,18,2025-11-17,,96.9,×
2025-11-14,朝便,YD40007003,フロア,1,2,2025-11-18,,96.9,×
2025-11-14,夕便,YD40002946,フロア,1,2,2025-11-19,,96.9,×
2025-11-14,夕便,YD40006245,フロア,9,18,2025-11-19,,96.9,×
2025-11-14,夕便,YD40006630,フロア,6,12,2025-11-19,,96.9,×
,,,,,,,,,
2025-11-17,朝便,YD40006630,フロア,3,6,2025-11-19,,48.5,×
2025-11-17,朝便,YD40006842,フロア,1,2,2025-11-19,,48.5,×
2025-11-17,朝便,YD40007003,フロア,3,6,2025-11-19,,48.5,×
2025-11-17,夕便,YD40002946,フロア,1,2,2025-11-20,,96.9,×
2025-11-17,夕便,YD40006237,フロア,1,2,2025-11-20,,96.9,×
2025-11-17,夕便,YD40006245,フロア,9,18,2025-11-20,,96.9,×
2025-11-17,夕便,YD40006630,フロア,4,8,2025-11-20,,96.9,×
2025-11-17,夕便,YD40007372,フロア,1,2,2025-11-20,,96.9,×
,,,,,,,,,
2025-11-18,朝便,YD40006630,フロア,5,10,2025-11-20,,60.6,×
2025-11-18,朝便,YD40006842,フロア,2,4,2025-11-20,,60.6,×
2025-11-18,朝便,YD40007003,フロア,2,4,2025-11-20,,60.6,×
2025-11-18,夕便,YD40006245,フロア,10,20,2025-11-21,,96.9,×
2025-11-18,夕便,YD40006630,フロア,6,12,2025-11-21,,96.9,×
,,,,,,,,,
2025-11-19,朝便,YD40006630,フロア,2,4,2025-11-21,,48.5,×
2025-11-19,朝便,YD40006842,フロア,3,6,2025-11-21,,48.5,×
2025-11-19,朝便,YD40007003,フロア,1,2,2025-11-21,,48.5,×
2025-11-19,朝便,YD40007243,フロア,1,2,2025-11-21,,48.5,×
,,,,,,,,,
2025-11-20,夕便,YD40002946,フロア,1,2,2025-11-25,,96.9,×
2025-11-20,夕便,YD40006245,フロア,12,24,2025-11-24,,96.9,×
2025-11-20,夕便,YD40006245,フロア,2,4,2025-11-25,,96.9,×
2025-11-20,夕便,YD40006842,フロア,1,2,2025-11-24,,96.9,×
,,,,,,,,,
2025-11-21,朝便,YD40006245,フロア,2,4,2025-11-25,,96.9,×
2025-11-21,朝便,YD40006245,フロア,11,22,2025-11-25,,96.9,×
2025-11-21,朝便,YD40006630,フロア,2,4,2025-11-24,,96.9,×
2025-11-21,朝便,YD40007003,フロア,1,2,2025-11-25,,96.9,×
2025-11-21,夕便,YD40006245,フロア,14,28,2025-11-26,,96.9,×
2025-11-21,夕便,YD40006618,フロア,1,2,2025-11-26,,96.9,×
2025-11-21,夕便,YD40007722,フロア,1,1,2025-11-26,,96.9,×
,,,,,,,,,
2025-11-24,朝便,YD40006630,フロア,4,8,2025-11-26,,72.7,×
2025-11-24,朝便,YD40006842,フロア,3,6,2025-11-26,,72.7,×
2025-11-24,朝便,YD40007003,フロア,3,6,2025-11-26,,72.7,×
2025-11-24,朝便,YD40007372,フロア,2,4,2025-11-26,,72.7,×
2025-11-24,夕便,YD40002946,フロア,1,2,2025-11-27,,96.9,×
2025-11-24,夕便,YD40006245,フロア,12,24,2025-11-27,,96.9,×
2025-11-24,夕便,YD40006630,フロア,2,4,2025-11-27,,96.9,×
2025-11-24,夕便,YD40007243,フロア,1,2,2025-11-27,,96.9,×
,,,,,,,,,
2025-11-25,朝便,YD40006630,フロア,4,8,2025-11-27,,60.6,×
2025-11-25,朝便,YD40006842,フロア,3,6,2025-11-27,,60.6,×
2025-11-25,朝便,YD40007003,フロア,2,4,2025-11-27,,60.6,×
2025-11-25,朝便,YD40007722,フロア,1,1,2025-11-27,,60.6,×
2025-11-25,夕便,YD40006237,フロア,1,2,2025-11-28,,96.9,×
2025-11-25,夕便,YD40006245,フロア,15,30,2025-11-28,,96.9,×
,,,,,,,,,
2025-11-26,朝便,YD40006630,フロア,3,6,2025-11-28,,60.6,×
2025-11-26,朝便,YD40006842,フロア,3,6,2025-11-28,,60.6,×
2025-11-26,朝便,YD40007003,フロア,1,2,2025-11-28,,60.6,×
2025-11-26,朝便,YD40007243,フロア,1,2,2025-11-28,,60.6,×
2025-11-26,朝便,YD40007688,フロア,1,1,2025-11-28,,60.6,×
